acontecimiento,archivo_txt,patron_zip,longitud_esperada,codificacion_observada,periodo_publicacion_inicio,periodo_publicacion_fin,archivos_analizados,filas,filas_validas_longitud,filas_cortas,filas_largas,filas_vacias,huecos_aparentes_dias,periodicidad,nivel_territorial,identificadores_potenciales,fechas_internas,faltantes_por_campo,riesgo_privacidad,limitacion_documental
NACIMIENTOS,MOVWEBNAC.txt,nac_*.zip,281,latin-1; utf-8,2026-02-01,2026-08-06,31,47705,47705,0,0,0,0,Semanal por bloques; bloques parciales posibles,NO DETERMINADO,NO DOCUMENTADO EN LA FUENTE CONSULTADA,NO DOCUMENTADO EN LA FUENTE CONSULTADA,NO DETERMINADO: no hay campos con posiciones oficialmente documentadas o configuradas.,ALTO,"Sin diccionario oficial de campos, fechas ni movimientos"
MATRIMONIOS,MOVWEBMAT.txt,mat_*.zip,328,latin-1; utf-8,2026-02-01,2026-08-06,31,20546,20546,0,0,0,0,Semanal por bloques; bloques parciales posibles,NO DETERMINADO,NO DOCUMENTADO EN LA FUENTE CONSULTADA,NO DOCUMENTADO EN LA FUENTE CONSULTADA,NO DETERMINADO: no hay campos con posiciones oficialmente documentadas o configuradas.,ALTO,"Sin diccionario oficial de campos, fechas ni movimientos"
DEFUNCIONES,MOVWEBDEF.txt,def_*.zip,191,latin-1,2026-02-01,2026-08-06,31,18719,18719,0,0,0,0,Semanal por bloques; bloques parciales posibles,NO DETERMINADO,NO DOCUMENTADO EN LA FUENTE CONSULTADA,NO DOCUMENTADO EN LA FUENTE CONSULTADA,NO DETERMINADO: no hay campos con posiciones oficialmente documentadas o configuradas.,ALTO,"Sin diccionario oficial de campos, fechas ni movimientos"
